ID,time,t,mood,mood_3dayavg,circumplex.arousal_3dayavg,circumplex.valence_3dayavg,activity_3dayavg,screen_3dayavg,call_3dayavg,sms_3dayavg,appCat.builtin_3dayavg,appCat.communication_3dayavg,appCat.other_3dayavg,appCat.professional_3dayavg,appCat.recreation_3dayavg,appCat.convenience_3dayavg,weekend
AS14.30,2014-05-01,74.0,0.8749999999999991,0.8787878787878789,0.22077922077922074,0.49999999999999956,0.7789628304864622,0.47452254800520643,0.4210526315789474,0.5510204081632654,0.40564027866242347,0.37401674356127096,0.21663856665295878,0.4209633116087696,0.26530409705885083,0.6733433832412841,0.0
AS14.30,2014-05-02,75.0,0.75,1.0,0.22077922077922074,0.49999999999999956,0.7915249574742858,0.5956351663142794,0.4736842105263158,0.3673469387755102,0.3415977978620889,0.5637951186777492,0.4367063928437399,0.07668819653672489,0.11987386522850318,0.8952243161028648,0.0
AS14.30,2014-05-03,76.0,0.625,1.0,0.22077922077922074,0.49999999999999956,0.7737742585629117,0.6865473689928876,0.5789473684210527,0.30612244897959184,0.30139456479550203,0.5451937442326185,0.28854382747708635,0.22231091598483335,0.3925969337002523,1.0,1.0
AS14.30,2014-05-04,77.0,0.625,1.0,0.22077922077922074,0.49999999999999956,0.6911424008948428,0.41798340894844666,0.4210526315789474,0.2448979591836735,0.08314853156809299,0.31559987723731747,0.1950776410369538,0.21416461021525002,0.35482797459516424,0.6814633133413878,1.0
AS14.30,2014-05-05,78.0,0.75,0.7575757575757578,0.11688311688311692,0.49999999999999956,0.4412738957568481,0.0,0.38596491228070184,0.1836734693877551,0.0,0.0,0.0,0.21416461021525002,0.2292160703699999,0.2941485804280291,0.0
AS14.31,2014-04-02,45.0,0.2592592592592595,,,,,,,,,,,,,,0.0
AS14.31,2014-04-03,46.0,0.22222222222222188,,,,,,,,,,,,,,0.0
AS14.31,2014-04-04,47.0,0.33333333333333304,,,,,,,,,,,,,,0.0
AS14.31,2014-04-05,48.0,0.666666666666667,0.044025157232704615,0.5454545454545454,0.41025641025641013,0.5777391362486719,0.8280133057074283,0.1785714285714286,0.0,0.11420896238958148,0.1700569564810208,0.1172622927306629,0.07326833913841903,0.3895911001640206,0.1317118896215908,1.0
AS14.31,2014-04-06,49.0,0.22222222222222188,0.32075471698113134,0.7272727272727273,0.3846153846153846,0.5863930339118955,0.614420409387625,0.3214285714285715,0.0,0.1138298763560614,0.13998008498827813,0.1391784209312755,0.3340067991592111,0.2991122825983984,0.14253095686066505,1.0
AS14.31,2014-04-07,50.0,0.22222222222222188,0.3207547169811322,0.590909090909091,0.07692307692307698,0.5403045266797062,0.4523516613916718,0.25,0.14285714285714285,0.17659180214847833,0.1364430412160585,0.08679168035904597,0.3671783109856504,0.28424454859040726,0.13612456310203247,0.0
AS14.31,2014-04-08,51.0,0.44444444444444464,0.2452830188679247,0.5454545454545454,0.0,0.5538925853648243,0.5366467477247299,0.21428571428571436,0.42857142857142855,0.18918095091576348,0.19303137814289084,0.08769220015504918,0.40147479530433067,0.17791387339392623,0.06927737020053612,0.0
AS14.31,2014-04-09,52.0,0.44444444444444464,0.09433962264150964,0.5,0.0,0.43827407882382985,0.464687090685634,0.07142857142857144,0.42857142857142855,0.18674007894273234,0.21119722059289467,0.14115057744016357,0.16981013954970747,0.32070801917722214,0.05070822447295649,0.0
AS14.31,2014-04-10,53.0,0.5555555555555554,0.2452830188679247,0.5454545454545454,0.15384615384615374,0.5043000812151569,0.3614474410300019,0.07142857142857144,0.2857142857142857,0.15570161972520563,0.33182622661434547,0.1523802953196573,0.155919669755124,0.4338554872600758,0.05810843183012745,0.0
